id,dataset,category,code,question,answer,prediction,accuracy,completeness,clarity,relevance
q241,codeqa,Why,def insert missed blocks store missed []for row in store selectall '\n SELEC Tb block id\n FRO Mblockb\n LEFTJOI Nchain candidatecc ON b block id cc block id \n WHER Echain id ISNULL\n ORDERB Yb block height\n' missed append row[ 0 ] if not missed returnstore log info ' Attemptingtorepair%dmissedblocks ' len missed inserted 0for block id in missed store sql '\n INSERTINT Ochain candidate \nchain id block id block height in longest \n SELEC Tcc chain id b block id b block height 0\n FRO Mchain candidatecc\n JOI Nblockprev ON cc block id prev block id \n JOI Nblockb ON b prev block id prev block id \n WHER Eb block id ?' block id inserted + store rowcount store commit store log info ' Inserted%drowsintochain candidate ' inserted,Why does the code rescanning nt work always ?,due to timeouts and resource constraints,because it will be handled by the parent process,1,2,5,3
q242,codeqa,Why,def validate feature module mode 'show' feature module params['feature']feature to be mapped {'show' {'nvoverlay' 'nve' 'vn-segment-vlan-based' 'vnseg vlan' 'hsrp' 'hsrp engine' 'fabricmulticast' 'fabric mcast' 'scp-server' 'scp Server' 'sftp-server' 'sftp Server' 'slaresponder' 'sla responder' 'slasender' 'sla sender' 'ssh' 'ssh Server' 'tacacs+' 'tacacs' 'telnet' 'telnet Server' 'ethernet-link-oam' 'elo' 'port-security' 'eth port sec'} 'config' {'nve' 'nvoverlay' 'vnseg vlan' 'vn-segment-vlan-based' 'hsrp engine' 'hsrp' 'fabric mcast' 'fabricmulticast' 'scp Server' 'scp-server' 'sftp Server' 'sftp-server' 'sla sender' 'slasender' 'sla responder' 'slaresponder' 'ssh Server' 'ssh' 'tacacs' 'tacacs+' 'telnet Server' 'telnet' 'elo' 'ethernet-link-oam' 'eth port sec' 'port-security'}}if feature in feature to be mapped[mode] feature feature to be mapped[mode][feature]return feature,Why be some features mapped ?,"due to inconsistency between how they appear from "" show feature "" output and how they are configured",to be mapped to the correct mode,3,2,5,3
q246,codeqa,Why,def retry on port collision reason add cleanup reason trap Address In Use ip port reason value addressused by find process name port ADDRESS IN USE ip ip port port name used by write d cleanup d add Callback lambda ignored add return d,Why do it fail to start ?,because of a port collision,because it will be handled by the parent process,2,2,3,2
q247,codeqa,Why,def memoized with request request func request index 0 def wrapper func memoized func memoized func @functools wraps func def wrapped *args **kwargs args list args request args pop request index args insert request index request func request return memoized func *args **kwargs return wrappedreturn wrapper,Why are memoized functions with a request argument memoized only during the rendering of a single view ?,because the request argument is a new request instance on each view,because the request argument is used to determine the memoization key,5,5,5,5
q249,codeqa,Why,@pytest mark skipif str u'not HAS SCIPY' def test distances scipy from cosmology import WMAP 5 d 4 Distance z 0 23 npt assert allclose d4 z 0 23 rtol 1e- 08 d5 Distance z 0 23 cosmology WMAP 5 npt assert allclose d5 compute z WMAP 5 0 23 rtol 1e- 08 d6 Distance z 0 23 cosmology WMAP 5 unit u km npt assert allclose d6 value 3 5417046898762366 e+ 22,Why do the distance - related tests require scipy ?,due to the cosmology module needing scipy integration routines,because they use the WMAP 5 cosmology model,4,3,5,3
q250,codeqa,Why,def request wants json request best request accept mimetypes best match ['application/json' 'text/html'] return best 'application/json' and request accept mimetypes[best] > request accept mimetypes['text/html'],Why do we accept json only only ?,because text / html is preferred to support browsers that accept on * / *,because we want to return json only,2,2,3,3
q252,codeqa,Why,def fk 4 B matrix obstime T obstime jyear - 1950 0 / 100 0 if getattr T u'shape' T shape + 1 1 return B1950 TO J2000 M + FK 4 CORR * T,Why is this a correction term in the fk4 transformations ?,because fk4 is a rotating system - see murray 89 eqn 29,because it corrects for the difference between the FK4 and FK5 epoch,4,5,5,5
q253,codeqa,Why,def get dut 1 utc time try return time delta ut 1 utcexcept iers IERS Range Error as e warn iers e return np zeros time shape,Why is this function used to get ut1-utc in coordinates ?,because normally it gives an error outside the iers range,because it handles the IERS range error,3,2,4,3
q255,codeqa,Why,def module not found additional depth 0 tb sys exc info [2 ]if len traceback extract tb tb > 1 + additional depth return Falsereturn True,Why was importerror raised ?,because module does not exist or something inside it raised importerror,because the module was not found in the additional depth,3,2,4,3
q256,codeqa,Why,def define nrt unresolved abort ctx module fnty ctx call conv get function type types none fn ir Function module fnty name 'nrt unresolved abort' bb fn append basic block builder ir IR Builder bb msg 'numbajittedfunctionabortedduetounresolvedsymbol'ctx call conv return user exc builder Runtime Error msg return fn,Why does an abort function define ?,due to unresolved symbol,to abort the execution of the program,5,5,5,5
q263,codeqa,Why,def ignore deprecation warnings target if target class name not in 'instancemethod' 'function' for attr in dir target if not attr startswith 'test' continueattr value getattr target attr if not hasattr attr value ' call ' continuesetattr target attr ignore deprecation warnings attr value return targetelse @wraps target def wrapped *args **kwargs with warnings catch warnings warnings filterwarnings 'ignore' category Deprecation Warning return target *args **kwargs return wrapped,Why is this useful ?,as the test runner can be set to raise an exception on a deprecation warning,to ignore deprecation warnings when calling a function,5,5,5,5
q266,codeqa,Why,def get file info ctx retval []request ctx transport reqheaders request get All Headers content type headers get 'content-type' None if content type is None return retvalimg cgi Field Storage fp request content headers ctx in header doc environ {'REQUEST METHOD' request method 'CONTENT TYPE' content type} try keys img keys except Type Error return retvalfor k in keys field img[k]file type field typefile name field disposition options get 'filename' None if file name is not None retval append File Info k file name file type [mmap field file fileno 0 ] return retval,Why do this hack need ?,because twisted does nt offer a way to get file name from content - disposition header,to get the content type of the request,2,2,3,2
q267,codeqa,Why,def validate resampler func method args kwargs if len args + len kwargs > 0 if method in RESAMPLER NUMPY OPS raise Unsupported Function Call 'numpyoperationsarenotvalidwithresample Use resample {func} instead' format func method else raise Type Error 'toomanyargumentspassedin',Why be args and kwargs be empty ?,because all of their necessary parameters are explicitly listed in the function signature,because it will be handled by the parent process,1,2,3,3
q268,codeqa,Why,def pack py Object return bz 2 compress json dumps py Object,Why do a py object zip using json rather than pickle ?,due to c * mailing list suggestions : - json is multi - language friendly,because it is more efficient and secure,2,2,3,2
q269,codeqa,Why,def find first level groups string enclosing blank sep None groups find first level groups span string enclosing if blank sep for start end in groups string str replace string start blank sep string str replace string end - 1 blank sep return split on groups string groups,Why could groups be split ?,because of explicit grouping,because it is a list of strings,2,2,3,3
q275,codeqa,Why,def test with mixed stack def a with xxx as abc f def f for z in pass 1 / 0 class xxx object def enter *args passdef exit *args passtry a except assert traceback [ Line 496 + 19 30 'test traceback py' 'test with mixed stack' Line 496 + 6 3 'test traceback py' 'a' Line 496 + 12 3 'test traceback py' 'f' ],Why has a stack which is mixed w/ interpreted and non - interpreted frames tests ?,because f ( ) has a loop in it,because it is a test of the traceback module,5,5,5,5
q284,codeqa,Why,@receiver product viewed def receive product view sender product user request response **kwargs return history update product request response,Why does receiver to handle viewing single product pages require the request and response objects ?,due to dependence on cookies,because it allows the receiver to update the product history and response with the request and response objects,5,5,5,5
