id,dataset,category,code,question,answer,prediction,accuracy,completeness,clarity,relevance
q1,codeqa,What,def drop protected attrs model class values for attr in model class protected attributes if attr in values del values[attr],What did the code remove from values dictionary using the models _ _ protected_attributes _ _ field ?,protected attributes,The code removed the specified attributes from the values dictionary.,4,4,4,5
q2,codeqa,What,def get Ordered Surrounding Loops perimeter Width surrounding Loops insides []ordered Surrounding Loops []for loop Index in xrange len surrounding Loops surrounding Loop surrounding Loops[loop Index]other Loops []for before Index in xrange loop Index other Loops append surrounding Loops[before Index] boundary for after Index in xrange loop Index + 1 len surrounding Loops other Loops append surrounding Loops[after Index] boundary if is Path Entirely Inside Loops other Loops surrounding Loop boundary insides append surrounding Loop else ordered Surrounding Loops append surrounding Loop for outside in ordered Surrounding Loops outside get From Inside Surroundings insides perimeter Width return ordered Surrounding Loops,What did the code order from surrounding loops ?,surrounding loops,in ascending order,4,5,4,5
q3,codeqa,What,def set coordinator properties coordinator root namespace coordinator name root get 'name' coordinator timezone root get 'timezone' coordinator start oozie to django datetime root get 'start' coordinator end oozie to django datetime root get 'end' coordinator frequency unit coordinator frequency number oozie to hue frequency root get 'frequency',What does the code get from coordinator xml set properties on coordinator with attributes from xml etree root ?,coordinator properties,"name, timezone, start, end, frequency",4,4,4,5
q4,codeqa,What,def get node attributes G name return {n d[name] for n d in G node items if name in d },What does the code get from graph parameters g : networkx graph name : string attribute name returns dictionary of attributes keyed by node ?,node attributes,Dictionary of attributes keyed by node.,5,5,5,5
q5,codeqa,What,def Validate Domain url domain name url split '/' if 'http ' in domain name or 'https ' in domain name domain name domain name[ 2 ]else domain name domain name[ 0 ]www domain name domain name split ' ' final domain ''if www domain name[ 0 ] 'www' final domain ' ' join www domain name[ 1 ] else final domain domain namereturn final domain domain name,What does this function return removing http:// and https:// returns domain name only with or without www as user provided ?,domain name,Answer: the domain name only with or without www as user provided,4,5,4,5
q6,codeqa,What,def apply provider facts facts provider facts if not provider facts return factscommon vars [ 'hostname' 'ip' 'public hostname' 'public ip' ]for h var ip var in common vars ip value provider facts['network'] get ip var if ip value facts['common'][ip var] ip valuefacts['common'][h var] choose hostname [provider facts['network'] get h var ] facts['common'][h var] facts['provider'] provider factsreturn facts,What does the code apply to supplied facts dict args : facts : facts dict to update provider_facts : provider facts to apply roles : host roles returns : dict : the merged facts ?,provider facts,dict,4,3,4,5
q7,codeqa,What,def Make Suite From Dict d label None suite Suite label label suite Set Dict d suite Normalize return suite,What does the code make ?,a suite,A test suite,4,5,4,5
q8,codeqa,What,def set stubs stubs stubs Set vmops V Mware VM Ops 'plug vifs' fake fake plug vifs stubs Set network util 'get network with the name' fake fake get network stubs Set vmware images 'fetch image' fake fake fetch image stubs Set vmware images 'get vmdk size and properties' fake fake get vmdk size and properties stubs Set vmware images 'upload image' fake fake upload image stubs Set driver V Mware API Session ' get vim object' fake get vim object stubs Set driver V Mware API Session ' is vim object' fake is vim object,What did the code set ?,the stubs,network and vmware images,3,4,4,5
q9,codeqa,What,def set enrollment attributes user id course id attributes data api add or update enrollment attr user id course id attributes,What did the code set for the enrollment of given user in the course provided ?,enrollment attributes,user id course id,3,2,4,5
q10,codeqa,What,def get error message error try return error args[ 0 ]except Index Error return '',What does the code retrieve from error ?,error message,error,3,2,3,3
q11,codeqa,What,def add Attribute Word evaluator Words word if len word < 2 evaluator Words append word returnif word[ 0 ] ' ' evaluator Words append word returndot Index word find ' ' 1 if dot Index < 0 evaluator Words append word returnevaluator Words append word[ dot Index] add Attribute Word evaluator Words word[dot Index ],What does the code add if the word starts with a dot ?,attribute word,The code appends the word to the evaluator Words list if the word starts with a space.,3,2,3,2
q12,codeqa,What,def receive message topic name subscription name pubsub client pubsub Client topic pubsub client topic topic name subscription topic subscription subscription name results subscription pull return immediately True print ' Received{}messages ' format len results for ack id message in results print '*{} {} {}' format message message id message data message attributes if results subscription acknowledge [ack id for ack id message in results],What does the code receive from a pull subscription ?,a message,Received messages,4,4,4,5
q13,codeqa,What,def get Plugins Directory Path return archive get Absolute Frozen Folder Path file 'xml plugins',What does the code get ?,the plugins directory path,The code gets the absolute path of the frozen folder containing the 'xml' plugin.,4,5,4,5
q14,codeqa,What,def ffmpeg write image filename image logfile False if image dtype 'uint 8 ' image image astype 'uint 8 ' cmd [get setting 'FFMPEG BINARY' '-y' '-s' '%dx%d' % image shape[ 2][ -1 ] '-f' 'rawvideo' '-pix fmt' 'rgba' if image shape[ 2 ] 4 else 'rgb 24 ' '-i' '-' filename]if logfile log file open filename + ' log' 'w+' else log file sp PIP Epopen params {'stdout' DEVNULL 'stderr' log file 'stdin' sp PIPE}if os name 'nt' popen params['creationflags'] 134217728 proc sp Popen cmd **popen params out err proc communicate image tostring if proc returncode err '\n' join [ '[ Movie Py] Running %s\n' % cmd 'WARNING thiscommandreturnedanerror ' err decode 'utf 8 ' ] raise IO Error err del proc,What does the code write to a file ?,an image,The code writes to a log file.,2,2,3,1
q15,codeqa,What,def set X window properties win id **properties import xcb xcb xprotoconn xcb connect atoms {name conn core Intern Atom False len name name for name in properties}utf 8 string atom Nonefor name val in properties iteritems atom atoms[name] reply atomtype atom xcb xproto Atom STRIN Gif isinstance val unicode if utf 8 string atom is None utf 8 string atom conn core Intern Atom True len 'UTF 8 STRING' 'UTF 8 STRING' reply atomtype atom utf 8 string atomval val encode u'utf- 8 ' conn core Change Property Checked xcb xproto Prop Mode Replace win id atom type atom 8 len val val conn flush conn disconnect,What did the code set on the window with the specified i d ?,window properties,The code set the 'UTF-8 STRING' property on the window with the specified id.,4,4,4,5
